job_id,title,company,location,experience,salary,posted_date,apply_link,description,tags
010726020720,AI Engineer,CareerFit.ai,"Hybrid - Mumbai, Bengaluru, Chennai",Associate level,"{'minimumSalary': 2000000, 'maximumSalary': 3000000, 'currency': 'INR', 'hideSalary': False, 'variablePercentage': 0.0}",3 Days Ago,/job-listings-ai-engineer-careerfit-ai-mumbai-chennai-bengaluru-2-to-5-years-010726020720,"This is a hands-on technical leadership role requiring exceptional coding skills,strong solution design capabilities,and practical experience in Artificial Intelligence and modern software engineering.  . <br><br> . Bachelors or Masters degree in Computer Science,Information Technology,or a related field.  . <br><br>Experience with <br><br> . Hands-on experience with",Azure | AI/ML | Generative AI | GCP | Artificial Intelligence | Cloud Platform | Machine Learning | AWS
290626027108,Generative AI Engineer- Blackstraw.ai- Immediate Joiner- WFO,Blackstraw Technologies,"Pune, Mumbai (All Areas), Bengaluru",Associate level,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",5 Days Ago,/job-listings-generative-ai-engineer-blackstraw-ai-immediate-joiner-wfo-blackstraw-technologies-pune-bengaluru-mumbai-all-areas-4-to-9-years-290626027108,"Bachelors or Masters degree in Computer Science,AI / ML,Data Science,or related field<br><br>The ideal candidate should have a strong background in machine learning,deep learning,and prompt engineering,along with hands-on experience in deploying GenAI solutions at scale<br><br>Required Skills & Qualifications <br><br> Key traits:  . Should have excellent communication skills<br><br> Good to Have",Agentic Ai | COmputer Vision | Fast Api | Generative Artificial Intelligence | Python | Object Detection | Artificial Intelligence | LLM
030726502340,AI Engineer,CareerFit.ai,Mumbai,Associate level,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",1 Day Ago,/job-listings-ai-engineer-careerfit-ai-mumbai-2-to-5-years-030726502340,"<h3>AI Engineer</h3> <h4>About the Role</h4> <p>We are looking for a <strong>AI Engineer</strong> to drive the development of cutting - edge AI - powered enterprise applications.  This is a hands - on technical leadership role requiring exceptional coding skills, strong solution design capabilities, and practical experience in Artificial Intelligence and modern software engineering. </p> <p>The ideal candidate should be passionate about solving complex business problems through technology while leading technical discussions, mentoring engineers, and delivering scalable, high - quality solutions. </p> <h4>Key Responsibilities</h4> <ol> <li>Develop AI - powered applications using modern AI/ML technologies. </li> <li>Write high - quality, maintainable, and production - ready code. </li> <li>Collaborate with Product Managers, Data Scientists, and Engineering teams to deliver business solutions. </li> <li>Optimize application performance, scalability, security, and reliability. </li> <li>Stay updated with emerging technologies, AI trends, and software development practices. </li> </ol> <h4>Required Skills</h4> <ol> <li>2+ years of hands - on software development experience. </li> <li>Strong coding expertise in <strong>Python, Go or Node. js</strong>. </li> <li>Excellent understanding of <strong>Data Structures, Algorithms, and Object - Oriented Programming</strong>. </li> <li>Strong experience in <strong>Solution Design</strong>, <strong>System Design</strong>, and <strong>Software Architecture</strong>. </li> <li>Experience building scalable <strong>Microservices</strong>, <strong>REST APIs</strong>, and distributed systems. </li> <li>Strong knowledge of <strong>SQL/NoSQL databases</strong>, caching, and messaging platforms. </li> <li>Hands - on experience with <strong>AWS, Azure, or GCP</strong>. </li> <li>Experience with <strong>Docker, Kubernetes</strong>, Git, and CI/CD pipelines. </li> </ol> <h4>AI Skills (Mandatory  - Must haves )</h4> <ol> <li>Hands - on experience with <strong>Artificial Intelligence</strong> and <strong>Machine Learning</strong> solutions. </li> <li>Exposure to <strong>Generative AI</strong>, <strong>Large Language Models (LLMs)</strong>, <strong>RAG</strong>, <strong>AI Agents</strong>, or intelligent automation solutions. </li> <li>Experience integrating AI models into enterprise applications. </li> <li>Knowledge of frameworks/tools such as <strong>LangChain, Hugging Face, TensorFlow, PyTorch, OpenAI APIs</strong>, or equivalent technologies. </li> <li>Understanding of prompt engineering, vector databases, and AI application deployment is preferred. </li> </ol> <h4>Preferred Qualifications</h4> <ol> <li>Bachelors or Masters degree in Computer Science, Information Technology, or a related field. </li> <li>Experience leading technical teams and mentoring engineers. </li> <li>Excellent analytical, problem - solving, and communication skills. </li> <li>Experience working in Agile development environments. </li> </ol> <h4>Ideal Candidate Profile</h4> <ol> <li>Practical experience delivering AI/ML or Generative AI solutions. </li> <li>2 - 5 years of experience in software engineering. </li> <li>Strong hands - on coding skills with a passion for clean, efficient code. </li> <li>Proven expertise in solution design and building scalable enterprise applications. </li> <li>Ability to lead technical initiatives while remaining actively involved in development. </li> </ol> <h4>Skills</h4> <ul> <li>Python</li> <li>AI/ML</li> <li>Generative AI</li> <li>Artificial Intelligence</li> <li>Machine Learning</li> <li>Cloud Platform</li> <li>AWS</li> <li>Azure</li> <li>GCP</li> </ul>

Disclaimer : This job posting has been aggregated from external source. Role details, content, and availability are subject to change. Applicants are advised to confirm the latest information directly on the company website before applying.",Computer science | Automation | Coding | Enterprise applications | Data structures | System design | Information technology | Distribution system
030726502341,AI Engineer,CareerFit.ai,Bengaluru,Associate level,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",1 Day Ago,/job-listings-ai-engineer-careerfit-ai-bengaluru-2-to-5-years-030726502341,"<h3>AI Engineer</h3> <h4>About the Role</h4> <p>We are looking for a <strong>AI Engineer</strong> to drive the development of cutting - edge AI - powered enterprise applications.  This is a hands - on technical leadership role requiring exceptional coding skills, strong solution design capabilities, and practical experience in Artificial Intelligence and modern software engineering. </p> <p>The ideal candidate should be passionate about solving complex business problems through technology while leading technical discussions, mentoring engineers, and delivering scalable, high - quality solutions. </p> <h4>Key Responsibilities</h4> <ol> <li>Develop AI - powered applications using modern AI/ML technologies. </li> <li>Write high - quality, maintainable, and production - ready code. </li> <li>Collaborate with Product Managers, Data Scientists, and Engineering teams to deliver business solutions. </li> <li>Optimize application performance, scalability, security, and reliability. </li> <li>Stay updated with emerging technologies, AI trends, and software development practices. </li> </ol> <h4>Required Skills</h4> <ol> <li>2+ years of hands - on software development experience. </li> <li>Strong coding expertise in <strong>Python, Go or Node. js</strong>. </li> <li>Excellent understanding of <strong>Data Structures, Algorithms, and Object - Oriented Programming</strong>. </li> <li>Strong experience in <strong>Solution Design</strong>, <strong>System Design</strong>, and <strong>Software Architecture</strong>. </li> <li>Experience building scalable <strong>Microservices</strong>, <strong>REST APIs</strong>, and distributed systems. </li> <li>Strong knowledge of <strong>SQL/NoSQL databases</strong>, caching, and messaging platforms. </li> <li>Hands - on experience with <strong>AWS, Azure, or GCP</strong>. </li> <li>Experience with <strong>Docker, Kubernetes</strong>, Git, and CI/CD pipelines. </li> </ol> <h4>AI Skills (Mandatory  - Must haves )</h4> <ol> <li>Hands - on experience with <strong>Artificial Intelligence</strong> and <strong>Machine Learning</strong> solutions. </li> <li>Exposure to <strong>Generative AI</strong>, <strong>Large Language Models (LLMs)</strong>, <strong>RAG</strong>, <strong>AI Agents</strong>, or intelligent automation solutions. </li> <li>Experience integrating AI models into enterprise applications. </li> <li>Knowledge of frameworks/tools such as <strong>LangChain, Hugging Face, TensorFlow, PyTorch, OpenAI APIs</strong>, or equivalent technologies. </li> <li>Understanding of prompt engineering, vector databases, and AI application deployment is preferred. </li> </ol> <h4>Preferred Qualifications</h4> <ol> <li>Bachelors or Masters degree in Computer Science, Information Technology, or a related field. </li> <li>Experience leading technical teams and mentoring engineers. </li> <li>Excellent analytical, problem - solving, and communication skills. </li> <li>Experience working in Agile development environments. </li> </ol> <h4>Ideal Candidate Profile</h4> <ol> <li>Practical experience delivering AI/ML or Generative AI solutions. </li> <li>2 - 5 years of experience in software engineering. </li> <li>Strong hands - on coding skills with a passion for clean, efficient code. </li> <li>Proven expertise in solution design and building scalable enterprise applications. </li> <li>Ability to lead technical initiatives while remaining actively involved in development. </li> </ol> <h4>Skills</h4> <ul> <li>Python</li> <li>AI/ML</li> <li>Generative AI</li> <li>Artificial Intelligence</li> <li>Machine Learning</li> <li>Cloud Platform</li> <li>AWS</li> <li>Azure</li> <li>GCP</li> </ul>

Disclaimer : This job posting has been aggregated from external source. Role details, content, and availability are subject to change. Applicants are advised to confirm the latest information directly on the company website before applying.",Computer science | Automation | Coding | Enterprise applications | Data structures | System design | Information technology | Distribution system
030726032412,AI Engineer-Pan India,Infosys,"Hybrid - Pune, Bengaluru, Chennai",Associate level,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",1 Day Ago,/job-listings-ai-engineer-pan-india-infosys-pune-chennai-bengaluru-3-to-5-years-030726032412,"Required Skills & Qualifications. Technical Skills<br><br>Experience with Machine Learning libraries: . Scikit-learn. TensorFlow / PyTorch. <br><br>Experience with ML algorithms (regression,classification,clustering). <br><br>Experience in model deployment (APIs,microservices). Strong understanding of statistics and probability",generative ai | Aiml | gen ai | Machine Learning | Python | Agentic Ai | RAG | LLM
300626504534,Ai Engineer,Tristone Strategic Partners,Mumbai,1-6 Yrs,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",4 Days Ago,/job-listings-ai-engineer-tristone-strategic-partners-llp-mumbai-1-to-6-years-300626504534,"1+ years of experience. Proficiency in a high-level programming language (Java or Python preferred). <br><br>Experience contributing to developer-facing or production systems. <br><br>Experience with retrieval systems (vector search,embeddings,or hybrid approaches).",Computer science | Programming | Infrastructure | Data structures | MCP | Python | Testing | Artificial Intelligence
290626016758,AI Engineer,Tristone Strategic Partners,Mumbai,1-6 Yrs,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",5 Days Ago,/job-listings-ai-engineer-tristone-strategic-partners-mumbai-1-to-6-years-290626016758,"Preferred candidate profile <br><br>Proficiency in a high-level programming language (Java or Python preferred) <br><br> 1+ years of experience<br><br>Experience contributing to developer-facing or production systems <br><br>Experience with retrieval systems (vector search,embeddings,or hybrid approaches)",Langgraph | Ai Solutions | Java | Ai Algorithms | Langchain | Artificial Intelligence | Aiml | RAG
300626925944,AI Engineers,Infosys,Bengaluru,Associate level,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",4 Days Ago,/job-listings-ai-engineers-infosys-limited-bengaluru-2-to-5-years-300626925944,"Bachelor of Engineering,BTech,BSc,BCA,MCA,MTech,MSc<br><br>Experience with REST APIs and microservices architecture. <br><br>Experience with Generative AI / LLMs (GPT,LangChain,Hugging Face). <br><br>Experience with Docker and Kubernetes.",artificial intelligence | Tensorflow | Predictive Modeling | Natural Language Processing | Neural Networks | Text Mining | Machine Learning | Deep Learning
300626925664,Junior AI Engineer,Infosys,Bengaluru,Associate level,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",4 Days Ago,/job-listings-junior-ai-engineer-infosys-limited-bengaluru-2-to-5-years-300626925664,"Bachelor of Engineering<br><br>Python programming (strong fundamentals,OOP,writing APIs,debugging).  . Hands-on experience building GenAI / LLM solutions: RAG / embeddings / vector DB / prompt engineering.  <br><br>Experience with FastAPI or Flask (building and serving APIs).  . Understanding of LLM application lifecycle (prompting,evaluation,versioning,deployment basics).",artificial intelligence | Tensorflow | Predictive Modeling | Natural Language Processing | Neural Networks | Text Mining | Machine Learning | Deep Learning
300626504351,Mid-level Agentic AI Engineer,Vee Healthtek,Bengaluru,Associate level,"{'minimumSalary': 0, 'maximumSalary': 0, 'currency': 'INR', 'hideSalary': True, 'variablePercentage': 0.0, 'minSalaryPerMonth': 0, 'maxSalaryPerMonth': 0, 'ctcBreakup': {}}",4 Days Ago,/job-listings-mid-level-agentic-ai-engineer-vee-healthtek-bengaluru-2-to-6-years-300626504351,Experience: 2-6 Yrs,deep learning | Performance tuning | Memory management | Machine learning | Architectural design | Design development | microsoft | CRM
